"Edge" "Interior"
"Carpotroche_brasiliensis" 11 21
"Astronium_concinnum" 110 11
"Astronium_graveolens" 36 7
"Spondias_macrocarpa" 12 1
"Spondias_venulosa" 2 0
"Tapirira_guianensis" 7 1
"Thyrsodium_spruceanum" 11 11
"Anaxagorea_silvatica" 1 13
"Annona_acutiflora" 1 1
"Annona_cacans" 0 2
"Annona_dolabripetala" 3 3
"Annona_sp" 0 1
"Duguetia_chrysocarpa" 1 1
"Ephedranthus_sp1" 1 0
"Ephedranthus_sp2" 0 1
"Guatteria_macropus" 1 0
"Guatteria_sellowiana" 0 1
"Hornschuchia_citriodora" 2 0
"Oxandra_martiana" 0 1
"Oxandra_nitida" 1 0
"Oxandra_reticulata" 0 3
"Pseudoxandra_sp" 2 23
"Unonopsis_renati" 1 1
"Xylopia_ochrantha" 1 0
"Xylopia_sericea" 0 1
"Aspidosperma_cylindrocarpon" 3 1
"Aspidosperma_desmanthum" 0 3
"Aspidosperma_discolor" 1 6
"Aspidosperma_illustre" 2 3
"Aspidosperma_parvifolium" 1 3
"Geissospermum_laeve" 12 17
"Himatanthus_bracteatus" 2 1
"Rauvolfia_capixabae" 0 2
"Tabernaemontana_salzmanni" 2 1
"Dendropanax_cuneatus" 1 1
"Schefflera_morototoni" 4 2
"Astrocaryum_aculeatissimum" 25 14
"Bactris_ferruginea" 2 0
"Syagrus_botryophora" 7 9
"Handroanthus_arianeae" 8 2
"Handroanthus_riodocensis" 5 2
"Handroanthus_serratifolius" 1 0
"Jacaranda_puberula" 4 7
"Sparattosperma_leucanthum" 1 1
"Tabebuia_elliptica" 1 0
"Tabebuia_obtusifolia" 2 4
"Tabebuia_sp" 7 1
"Bixa_arborea" 1 2
"Cordia_acutifolia" 4 2
"Cordia_ecalyculata" 10 2
"Cordia_magnoliaefolia" 0 1
"Cordia_sp1" 2 0
"Cordia_sp2" 0 1
"Cordia_trichoclada" 0 1
"Cordia_trichotoma" 1 0
"Crepidospermum_atlanticum" 1 8
"Protium_brasiliense" 1 0
"Protium_heptaphyllum" 15 9
"Protium_warmingianum" 16 20
"Neocalyptrocalyx_nectarea" 1 3
"Jacaratia_heptaphylla" 4 4
"Maytenus_cestrifolia" 3 3
"Maytenus_multiflora" 4 3
"Maytenus_patens" 1 0
"Chrysobalanaceae_sp" 3 0
"Couepia_belemii" 1 0
"Couepia_schotti" 0 1
"Exellodendron_gracile" 1 1
"Hirtella_hebeclada" 1 1
"Hirtella_sprucei" 0 3
"Licania_belemii" 0 1
"Licania_heteromorpha" 1 0
"Licania_kunthiana" 3 6
"Licania_salzmannii" 0 1
"Licania_sp" 0 1
"Parinari_excelsa" 0 1
"Parinari_parvifolia" 4 4
"Kielmeyera_occhioniana" 2 0
"Rheedia_gardnerian" 1 5
"Tovomita_brevistaminea" 1 1
"Terminalia_argentea" 3 1
"Terminalia_glabrescens" 2 2
"Terminalia_kuhlmannii" 14 16
"Connarus_detersus" 2 1
"Stephanopodium_blanchetianum" 0 1
"Diospyros_brasiliensis" 2 1
"Sloanea_aff_Granulosa" 0 3
"Sloanea_eichleri" 4 3
"Sloanea_garckeana" 3 2
"Erythroxylum_columbinum" 0 1
"Erythroxylum_pulchrum" 0 1
"Actinostemon_concolor" 0 1
"Actinostemon_estrellensis" 27 52
"Alchornea_sidifolia" 0 2
"Aparisthmium_cordatum" 0 1
"Caryodendron_grandifolium" 0 4
"Caryodendron_janeirense" 1 0
"Cnidoscolus_oligandrus" 6 0
"Cunuria_sp" 2 2
"Euphorbiaceae_sp" 2 3
"Glycydendron_espiritosantense" 1 4
"Joannesia_princeps" 37 15
"Mabea_cf_fistulifera" 1 3
"Pausandra_morisiana" 2 17
"Sapium_glandulatum" 2 3
"Senefeldera_multiflora" 41 140
"Abarema_cochliacarpos" 0 1
"Acacia_glomerosa" 17 1
"Acosmium_lentiscifolium" 8 6
"Albizia_pedicellaris" 1 0
"Albizia_polycephala" 18 2
"Andira_fraxinifolia" 1 0
"Andira_legalis" 0 2
"Andira_ormosioides" 0 1
"Apuleia_leiocarpa" 3 10
"Barnebydendron_riedelii" 1 4
"Bauhinia_forficata" 7 3
"Bauhinia_longifolia" 1 0
"Centrolobium_sclerophyllum" 1 0
"Chamaecrista_aspleniifolia" 1 3
"Chamaecrista_bahiae" 1 0
"Chamaecrista_ensiformis" 0 9
"Chamaecrista_sp" 1 0
"Dalbergia_elegans" 1 0
"Dalbergia_nigra" 0 4
"Deguelia_longeracemosa" 7 1
"Dialium_guianense" 12 30
"Dimorphandra_sp" 0 6
"Diplotropis_incexis" 0 2
"Exostyles_venusta" 4 1
"Goniorrhachis_marginata" 6 9
"Hymenaea_aurea" 5 5
"Hymenaea_courbaril" 3 1
"Inga_aff_cylindrica" 0 2
"Inga_cabelo" 4 1
"Inga_capitata" 0 2
"Inga_exfoliata" 0 2
"Inga_flagelliformis" 9 10
"Inga_hispida" 1 3
